year,activity,employment,output
2012,UTL_othr_off,11605,0
2012,UTL_othr_off_li,13992,6372246100
2012,WHSL_offc_off,20313,0
2012,WHSL_whsl_ware,63209,14488699286
2013,CNST_main_xxx,18885,3917889281
2013,CNST_nres_xxx,19740,3558014221
2013,CNST_offc_off,44070,0
2013,CNST_othr_xxx,23668,4385635375
2013,CNST_res_xxx,22984,5762910084
2013,ENGY_elec_hi,3328,8039400934
2013,ENGY_ngas_hi,488,675961838
2013,ENGY_offc_off,17823,0
2013,ENGY_ptrl_hi,6723,3564608103
2013,ENT_ent_ret,61492,3507209900
2013,FIRE_fnin_off,104314,21198995714
2013,FIRE_real_off,113640,21675589629
2013,GOV_admn_gov,65026,12949195403
2013,GOV_offc_off,103748,0
2013,HIED_hied_off_inst,51237,2373176516
2013,HLTH_care_inst,55636,2901876256
2013,HLTH_hosp_hosp,62472,8845754423
2013,HLTH_othr_off_li,116155,12374231151
2013,HOSP_acc_acc,20886,1834613135
2013,HOSP_eat_ret_acc,185656,10193751059
2013,INFO_info_off,38255,0
2013,INFO_info_off_li,7815,13140962563
2013,K12_k12_k12,116437,10755807128
2013,K12_k12_off,38894,0
2013,MFG_food_hi,13905,9186293142
2013,MFG_food_li,14022,9186293142
2013,MFG_htec_hi,2853,17528617206
2013,MFG_htec_li,2618,17528617206
2013,MFG_hvtw_hi,18037,11118648476
2013,MFG_hvtw_li,18192,11118648476
2013,MFG_lvtw_hi,11459,10512481091
2013,MFG_offc_off,120172,0
2013,MFG_wdppr_hi,19612,9365964216
2013,RES_agmin_ag,72581,6643569078
2013,RES_forst_log,7567,959624241
2013,RES_offc_off,46842,0
2013,RET_auto_ret,65531,5474031680
2013,RET_nstor_off,31678,2866165459
2013,RET_stor_off,41213,0
2013,RET_stor_ret,166079,11665290465
2013,SERV_bus_off,128674,15613820577
2013,SERV_home_xxx,22005,229720311
2013,SERV_nonp_off_inst,88513,4617088744
2013,SERV_site_li,62437,4356501520
2013,SERV_stor_ret,67728,2663681949
2013,SERV_tech_off,188242,25075436649
2013,TRNS_trns_off,32357,0
2013,TRNS_trns_ware,47548,12009911247
2013,UTL_othr_off,11589,0
2013,UTL_othr_off_li,13973,6354045922
2013,WHSL_offc_off,21047,0
2013,WHSL_whsl_ware,65492,15176703855
2014,CNST_main_xxx,20402,4293728132
2014,CNST_nres_xxx,21326,3892064034
2014,CNST_offc_off,47609,0
2014,CNST_othr_xxx,25568,4797387713
2014,CNST_res_xxx,24830,6353365876
2014,ENGY_elec_hi,3454,8555058972
2014,ENGY_ngas_hi,506,722840032
2014,ENGY_offc_off,18211,0
2014,ENGY_ptrl_hi,6823,3668416706
2014,ENT_ent_ret,63680,3610837489
2014,FIRE_fnin_off,105287,21696616073
2014,FIRE_real_off,114701,21888017188
2014,GOV_admn_gov,63518,13085641132
2014,GOV_offc_off,101342,0
2014,HIED_hied_off_inst,52087,2423724702
2014,HLTH_care_inst,57023,3014873087
2014,HLTH_hosp_hosp,64030,9190201302
2014,HLTH_othr_off_li,119052,12856074201
2014,HOSP_acc_acc,21630,1898299507
2014,HOSP_eat_ret_acc,192262,10547614776
2014,INFO_info_off,38165,0
2014,INFO_info_off_li,7796,13530666535
2014,K12_k12_k12,116158,10777825633
2014,K12_k12_off,38802,0
2014,MFG_food_hi,14484,9681868814
2014,MFG_food_li,14605,9681868814
2014,MFG_htec_hi,2871,16958086886
2014,MFG_htec_li,2634,16958086886
2014,MFG_hvtw_hi,18598,11644834909
2014,MFG_hvtw_li,18758,11644834909
2014,MFG_lvtw_hi,11662,10817186481
2014,MFG_offc_off,123237,0
2014,MFG_wdppr_hi,20335,9552622108
2014,RES_agmin_ag,73650,6660274068
2014,RES_forst_log,7679,988287501
2014,RES_offc_off,47533,0
2014,RET_auto_ret,66958,5631872646
2014,RET_nstor_off,32449,3004571864
2014,RET_stor_off,42217,0
2014,RET_stor_ret,170124,12197795154
2014,SERV_bus_off,135030,16331787089
2014,SERV_home_xxx,22439,237414620
2014,SERV_nonp_off_inst,90469,4779606797
2014,SERV_site_li,64914,4522764589
2014,SERV_stor_ret,69133,2747835383
2014,SERV_tech_off,197540,26372469705
2014,TRNS_trns_off,33487,0
2014,TRNS_trns_ware,49209,12370099595
2014,UTL_othr_off,12198,0
2014,UTL_othr_off_li,14707,6837039422
2014,WHSL_offc_off,21412,0
2014,WHSL_whsl_ware,66626,15620772464
2015,CNST_main_xxx,21209,4586308650
2015,CNST_nres_xxx,22169,4119693775
2015,CNST_offc_off,49492,0
2015,CNST_othr_xxx,26580,5077965863
2015,CNST_res_xxx,25812,6980884239
2015,ENGY_elec_hi,3622,9115304266
2015,ENGY_ngas_hi,525,768452575
2015,ENGY_offc_off,18724,0
2015,ENGY_ptrl_hi,6959,3841881480
2015,ENT_ent_ret,66692,3799987068
2015,FIRE_fnin_off,107996,22503863060
2015,FIRE_real_off,117651,22638333805
2015,GOV_admn_gov,61932,13201477022
2015,GOV_offc_off,98812,0
2015,HIED_hied_off_inst,52998,2491504462
2015,HLTH_care_inst,59356,3202180311
2015,HLTH_hosp_hosp,66650,9761167655
2015,HLTH_othr_off_li,123923,13654792919
2015,HOSP_acc_acc,22653,1995543144
2015,HOSP_eat_ret_acc,201358,11087934370
2015,INFO_info_off,39027,0
2015,INFO_info_off_li,7972,14317877248
2015,K12_k12_k12,119369,11190836593
2015,K12_k12_off,39874,0
2015,MFG_food_hi,15165,10122687061
2015,MFG_food_li,15292,10122687061
2015,MFG_htec_hi,2961,16780875572
2015,MFG_htec_li,2717,16780875572
2015,MFG_hvtw_hi,19339,12264456115
2015,MFG_hvtw_li,19505,12264456115
2015,MFG_lvtw_hi,12075,11331630865
2015,MFG_offc_off,127853,0
2015,MFG_wdppr_hi,20890,10141214862
